file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/OctalToDecimal.java,OctalToDecimal,class,1,4,1,6,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,2,0,0,1,0,3,3,4,1,1,4,1,0,0,0,35
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/IterativeBinarySearch.java,Searches.IterativeBinarySearch,class,3,5,1,10,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,2,1,2,0,1,2,9,14,4,4,12,2,0,0,1,90
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/HexToOct.java,HexToOct,class,1,5,1,10,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,2,2,0,0,2,3,10,17,6,6,12,1,0,0,0,33
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Cycles.java,Cycles,class,3,16,1,15,2,5,1,4,1,0,0,0,0,0,5,0,0,4,0,0,0,0,0,73,0,7,2,0,0,4,14,23,2,2,18,4,0,1,0,28
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GCD.java,GCD,class,2,7,1,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,3,2,1,0,0,1,11,6,0,0,3,1,0,0,0,14
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/StackArrayList.java,StackArrayList,class,1,7,1,13,0,6,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,38,4,0,0,0,0,2,8,3,3,3,3,1,0,0,0,68
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CircularBuffer.java,CircularBuffer,class,4,9,1,8,5,6,1,4,2,0,0,0,0,0,5,0,1,4,0,0,1,0,1,98,4,0,1,0,2,0,8,14,2,2,11,1,0,2,0,50
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Ford_Fulkerson.java,Ford_Fulkerson,class,2,11,1,13,0,2,2,1,1,0,0,0,0,0,4,3,0,0,0,0,1,0,2,64,1,6,3,0,0,5,39,32,5,5,16,3,0,0,0,32
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/RedBlackBST.java,RedBlackBST,class,3,66,1,15,0,13,0,4,3,0,0,0,0,0,4,0,0,4,0,0,3,0,0,302,10,6,36,0,5,17,4,114,3,3,19,4,0,1,0,51
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/DFS.java,DFS,class,2,9,1,9,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,0,4,0,0,0,0,11,15,0,0,11,3,0,0,0,34
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SkylineProblem.java,SkylineProblem,class,3,18,1,18,9,6,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,105,3,5,1,0,1,3,26,24,5,5,20,3,0,2,0,37
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/PasswordGen.java,PasswordGen,class,1,4,1,8,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,1,2,0,0,0,6,3,11,4,4,10,1,0,0,0,19
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Armstrong.java,Armstrong,class,1,6,1,6,1,3,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,32,3,1,1,0,1,3,5,9,4,4,6,1,0,0,0,47
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/TestCSVFile.java,TestCSVFile,class,2,11,1,16,55,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,92,0,0,0,0,0,39,18,12,1,1,12,0,0,0,0,30
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MaxHeap.java,DataStructures.Heaps.MaxHeap,class,4,29,1,19,0,10,0,5,5,0,0,0,0,0,1,0,0,1,0,0,1,0,6,83,4,3,1,2,17,6,37,10,32,32,6,2,0,0,0,64
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/RadixSort.java,Sorts.RadixSort,class,2,13,1,6,10,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,1,7,0,0,3,1,27,18,11,11,10,1,0,0,0,14
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CursorLinkedList.java,CursorLinkedList,class,4,27,1,8,0,9,0,7,2,0,0,0,0,0,5,1,0,5,0,0,3,0,0,127,5,6,3,0,0,0,22,44,2,2,25,3,0,1,0,67
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/HeapElement.java,DataStructures.Heaps.HeapElement,class,1,12,1,2,0,12,0,12,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,51,4,0,1,0,2,2,0,16,1,1,2,0,0,0,0,83
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Graphs.java,Graphs,class,3,17,1,9,0,5,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93,4,4,6,0,0,5,19,11,0,0,6,2,0,2,0,55
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Bag.java,Bags.Bag,class,5,10,1,9,0,7,1,7,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,74,5,2,1,0,0,6,1,8,1,1,5,2,0,2,0,67
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CombSort.java,Sorts.CombSort,class,4,7,1,6,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,2,2,0,0,2,1,24,10,5,5,6,3,0,0,0,48
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/ReverseString.java,ReverseString,class,1,5,1,7,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,1,1,0,0,2,2,8,2,2,6,1,0,0,0,44
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/DoublyLinkedList.java,Link,class,3,26,1,11,0,13,1,13,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,120,3,4,8,0,1,1,8,37,1,1,14,1,0,1,0,93
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SkylineAlgorithm.java,SkylineAlgorithm,class,2,18,1,8,4,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,86,5,4,4,0,0,0,18,13,4,4,11,3,0,2,0,130
