file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinHeap.java,DataStructures.Heaps.MinHeap,extractMin/0,75,2,1,2,5,1,1,0,75,0,0,0,0,0,2,1,0,0,0,0,0,6
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SearchAlgorithm.java,Searches.SearchAlgorithm,find/2[T,T],11,1,1,0,1,0,0,2,11,0,0,0,0,0,0,0,0,-1,0,0,0,18
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/PowerOfTwoOrNot.java,PowerOfTwoOrNot,main/1[java.lang.String[]],9,1,2,3,12,0,3,1,9,0,0,0,0,3,0,3,0,1,0,0,0,18
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/PowerOfTwoOrNot.java,PowerOfTwoOrNot,checkIfPowerOfTwoOrNot/1[int],29,0,1,0,3,1,0,1,29,0,1,0,3,0,3,0,1,0,0,0,0,16
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/InsertionSort.java,Sorts.InsertionSort,sort/1[T[]],24,2,3,1,12,1,3,1,24,2,0,0,0,0,5,5,3,2,0,0,0,21
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/InsertionSort.java,Sorts.InsertionSort,main/1[java.lang.String[]],42,2,1,3,9,0,3,1,42,0,0,0,0,5,9,3,0,0,0,0,0,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/StackPostfixNotation.java,StackPostfixNotation,postfixEvaluate/1[java.lang.String],11,0,6,7,27,1,5,1,11,1,0,0,0,3,0,5,4,3,0,0,0,9
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/StackPostfixNotation.java,StackPostfixNotation,main/1[java.lang.String[]],4,1,1,3,5,0,2,1,4,0,0,0,0,0,0,2,0,0,0,0,0,7
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/PerlinNoise.java,PerlinNoise,generatePerlinNoiseLayer/4[float[][],int,int,int],68,2,3,1,19,1,13,4,68,2,0,0,6,0,4,14,14,2,0,0,0,33
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/PerlinNoise.java,PerlinNoise,interpolate/3[float,float,float],107,0,1,0,3,1,0,3,107,0,0,0,1,0,1,0,4,0,0,0,0,15
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/PerlinNoise.java,PerlinNoise,generatePerlinNoise/5[int,int,int,float,long],16,2,9,2,31,1,14,5,16,8,0,0,0,0,11,20,2,3,0,0,0,38
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/PerlinNoise.java,PerlinNoise,main/1[java.lang.String[]],111,3,5,9,40,0,15,1,111,3,0,0,0,6,3,16,1,4,0,0,0,26
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinkedList.java,LinkedList,display/0,54,1,2,2,8,0,1,0,54,1,0,0,0,1,0,2,0,1,0,0,0,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinkedList.java,LinkedList,LinkedList/0,6,0,1,0,4,0,0,0,6,0,0,0,0,0,1,2,0,0,0,0,0,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinkedList.java,LinkedList,insert/1[int],11,1,2,0,12,0,2,1,11,0,1,0,0,0,0,5,0,1,0,0,0,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinkedList.java,LinkedList,delete/1[int],27,1,5,1,23,3,1,1,27,1,3,0,0,2,1,3,0,4,0,0,0,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,peekBack/0,78,0,1,1,3,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,11
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,remove/0,48,0,3,3,8,1,0,0,48,1,0,0,0,0,0,0,0,2,0,0,0,10
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,insert/1[java.lang.Object],38,0,1,1,3,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,14
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,main/1[java.lang.String],106,1,1,7,24,0,1,1,106,0,0,0,0,0,5,1,0,0,0,0,0,11
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,QueueWithStack/0,28,0,1,0,4,0,0,0,28,0,0,0,0,0,0,2,0,0,0,0,0,4
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,isEmpty/0,87,0,1,1,3,1,0,0,87,0,0,0,1,0,0,0,0,0,0,0,0,7
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,peekFront/0,63,0,3,4,8,1,0,0,63,1,0,0,0,0,0,0,0,2,0,0,0,11
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FibToN.java,FibToN,main/1[java.lang.String[]],14,0,2,3,12,0,5,1,14,1,0,0,0,0,2,7,1,1,0,0,0,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/AnyBaseToDecimal.java,AnyBaseToDecimal,main/1[java.lang.String[]],12,1,1,5,8,0,3,1,12,0,0,0,0,4,0,3,2,0,0,0,0,16
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/AnyBaseToDecimal.java,AnyBaseToDecimal,valOfChar/1[char],51,0,3,0,8,2,0,1,51,0,0,0,0,0,1,0,3,1,0,0,0,19
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/AnyBaseToDecimal.java,AnyBaseToDecimal,convertToDecimal/2[java.lang.String,int],30,1,3,4,13,2,4,2,30,1,0,0,0,1,4,6,2,2,0,0,0,32
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LevenshteinDistance.java,LevenshteinDistance,calculate_distance/2[java.lang.String,java.lang.String],17,2,6,3,24,1,8,2,17,4,1,0,0,0,16,12,9,3,0,0,0,10
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LevenshteinDistance.java,LevenshteinDistance,minimum/3[int,int,int],7,0,5,0,11,3,0,3,7,0,0,0,0,0,0,0,0,1,0,0,0,4
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LevenshteinDistance.java,LevenshteinDistance,main/1[java.lang.String[]],45,1,1,3,6,0,2,1,45,0,0,0,0,5,0,2,1,0,0,0,0,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FloydWarshall.java,FloydWarshall,FloydWarshall/1[int],8,1,1,1,5,0,0,1,8,0,0,0,0,0,3,2,2,0,0,0,0,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FloydWarshall.java,FloydWarshall,main/1[java.lang.String],49,2,5,4,25,0,6,1,49,2,2,0,0,3,6,9,2,3,0,0,0,26
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FloydWarshall.java,FloydWarshall,floydwarshall/1[int],14,1,10,2,23,0,8,1,14,8,0,0,0,3,8,10,5,3,0,0,0,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CircleLinkedList.java,CircleLinkedList,append/1[E],23,2,2,0,7,0,0,1,23,0,1,0,0,1,0,1,0,1,0,0,0,12
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CircleLinkedList.java,CircleLinkedList,CircleLinkedList/0,15,2,1,0,4,0,0,0,15,0,0,0,0,0,1,2,0,0,0,0,0,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CircleLinkedList.java,CircleLinkedList,getSize/0,21,0,1,0,3,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CircleLinkedList.java,CircleLinkedList,remove/1[int],31,2,4,0,16,1,4,1,31,1,0,0,0,1,2,9,0,1,0,0,0,20
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/HeapSort.java,Sorts.HeapSort,sort/1[java.util.List<T>],104,2,2,5,11,1,4,1,104,1,0,0,0,1,2,4,0,1,0,0,0,7
